Timestamp;QPU_Name;Estado;Tareas_Normales_Cola;Trabajos_Hibridos_Cola
2026-05-01 12:42:17;Garnet;ONLINE;0;0
2026-05-01 12:42:17;Forte 1;OFFLINE;8;0
2026-05-01 13:42:23;Cepheus-1-108Q;ONLINE;0;0
2026-05-01 13:42:23;Garnet;ONLINE;0;0
2026-05-01 13:42:23;Forte 1;OFFLINE;8;0
2026-05-01 14:42:29;Cepheus-1-108Q;ONLINE;1;0
2026-05-01 14:42:29;Garnet;ONLINE;0;0
2026-05-01 14:42:29;Forte 1;OFFLINE;8;0
2026-05-01 15:42:34;Cepheus-1-108Q;ONLINE;0;0
2026-05-01 15:42:34;Garnet;ONLINE;6;0
2026-05-01 15:42:34;Forte 1;OFFLINE;8;0
2026-05-01 16:42:40;Cepheus-1-108Q;ONLINE;0;0
2026-05-01 16:42:40;Garnet;ONLINE;6;0
2026-05-01 16:42:40;Forte 1;ONLINE;8;0
2026-05-01 17:42:45;Cepheus-1-108Q;ONLINE;1;0
2026-05-01 17:42:45;Garnet;ONLINE;0;0
2026-05-01 17:42:45;Forte 1;ONLINE;0;1
2026-05-01 18:42:50;Cepheus-1-108Q;ONLINE;1;0
2026-05-01 18:42:50;Garnet;ONLINE;0;0
2026-05-01 18:42:50;Forte 1;ONLINE;2;0
2026-05-01 19:42:55;Cepheus-1-108Q;ONLINE;1;0
2026-05-01 19:42:55;Garnet;ONLINE;0;0
2026-05-01 19:42:55;Forte 1;ONLINE;0;0
2026-05-01 20:43:01;Cepheus-1-108Q;ONLINE;1;0
2026-05-01 20:43:01;Garnet;ONLINE;0;0
2026-05-01 20:43:01;Forte 1;ONLINE;0;0 (1 prioritized hybrid job running)
2026-05-01 21:43:06;Cepheus-1-108Q;ONLINE;1;0
2026-05-01 21:43:06;Garnet;ONLINE;0;0
2026-05-01 21:43:06;Forte 1;ONLINE;0;0 (1 prioritized hybrid job running)
2026-05-01 22:43:12;Cepheus-1-108Q;ONLINE;0;0
2026-05-01 22:43:12;Garnet;ONLINE;0;0
2026-05-01 22:43:12;Forte 1;ONLINE;0;0
2026-05-01 23:43:17;Cepheus-1-108Q;ONLINE;0;0
2026-05-01 23:43:17;Garnet;ONLINE;0;0
2026-05-01 23:43:17;Forte 1;ONLINE;0;0
2026-05-02 00:43:23;Cepheus-1-108Q;ONLINE;1;0
2026-05-02 00:43:23;Garnet;ONLINE;1;0
2026-05-02 00:43:23;Forte 1;ONLINE;0;0
2026-05-02 01:43:28;Cepheus-1-108Q;ONLINE;2;0
2026-05-02 01:43:28;Garnet;ONLINE;1;0
2026-05-02 01:43:28;Forte 1;ONLINE;0;0
2026-05-02 02:43:34;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 02:43:34;Garnet;ONLINE;1;0
2026-05-02 02:43:34;Forte 1;ONLINE;0;0
2026-05-02 03:43:39;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 03:43:39;Garnet;ONLINE;1;0
2026-05-02 03:43:39;Forte 1;ONLINE;0;0
2026-05-02 04:43:44;Cepheus-1-108Q;ONLINE;1;0
2026-05-02 04:43:44;Garnet;ONLINE;1;0
2026-05-02 04:43:44;Forte 1;ONLINE;0;0
2026-05-02 05:43:49;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 05:43:49;Garnet;ONLINE;1;0
2026-05-02 05:43:49;Forte 1;ONLINE;0;0
2026-05-02 06:43:54;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 06:43:54;Garnet;ONLINE;1;0
2026-05-02 06:43:54;Forte 1;ONLINE;0;0
2026-05-02 07:44:00;Cepheus-1-108Q;ONLINE;1;0
2026-05-02 07:44:00;Garnet;ONLINE;1;0
2026-05-02 07:44:00;Forte 1;ONLINE;0;0
2026-05-02 08:44:05;Cepheus-1-108Q;ONLINE;1;0
2026-05-02 08:44:05;Garnet;ONLINE;1;0
2026-05-02 08:44:05;Forte 1;ONLINE;0;0
2026-05-02 09:44:11;Cepheus-1-108Q;ONLINE;1;0
2026-05-02 09:44:11;Garnet;ONLINE;1;0
2026-05-02 09:44:11;Forte 1;ONLINE;0;0
2026-05-02 10:44:16;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 10:44:16;Garnet;ONLINE;1;0
2026-05-02 10:44:16;Forte 1;ONLINE;0;0
2026-05-02 11:44:22;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 11:44:22;Garnet;ONLINE;1;0
2026-05-02 11:44:22;Forte 1;ONLINE;0;0
2026-05-02 12:44:27;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 12:44:27;Garnet;ONLINE;1;0
2026-05-02 12:44:27;Forte 1;ONLINE;0;0
2026-05-02 13:44:33;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 13:44:33;Garnet;ONLINE;1;0
2026-05-02 13:44:33;Forte 1;ONLINE;0;0
2026-05-02 14:44:39;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 14:44:39;Garnet;ONLINE;1;0
2026-05-02 14:44:39;Forte 1;ONLINE;0;0
2026-05-02 15:44:44;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 15:44:44;Garnet;ONLINE;3;0
2026-05-02 15:44:44;Forte 1;ONLINE;0;0
2026-05-02 16:44:50;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 16:44:50;Garnet;ONLINE;3;0
2026-05-02 16:44:50;Forte 1;ONLINE;0;0
2026-05-02 17:44:55;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 17:44:55;Garnet;ONLINE;3;0
2026-05-02 17:44:55;Forte 1;ONLINE;0;0
2026-05-02 18:45:00;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 18:45:00;Garnet;ONLINE;3;0
2026-05-02 18:45:00;Forte 1;ONLINE;0;0
2026-05-02 19:45:05;Cepheus-1-108Q;ONLINE;1;0
2026-05-02 19:45:05;Garnet;ONLINE;3;0
2026-05-02 19:45:05;Forte 1;ONLINE;0;0
2026-05-02 20:45:11;Cepheus-1-108Q;ONLINE;1;0
2026-05-02 20:45:11;Garnet;ONLINE;3;0
2026-05-02 20:45:11;Forte 1;ONLINE;0;0
2026-05-02 21:45:16;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 21:45:16;Garnet;ONLINE;3;0
2026-05-02 21:45:16;Forte 1;ONLINE;0;0
2026-05-02 22:45:22;Cepheus-1-108Q;ONLINE;0;0
2026-05-02 22:45:22;Garnet;ONLINE;3;0
2026-05-02 22:45:22;Forte 1;ONLINE;0;0
2026-05-02 23:45:27;Cepheus-1-108Q;ONLINE;1;0
2026-05-02 23:45:27;Garnet;ONLINE;4;0
2026-05-02 23:45:27;Forte 1;ONLINE;0;0
2026-05-03 00:45:33;Cepheus-1-108Q;ONLINE;1;0
2026-05-03 00:45:33;Garnet;ONLINE;4;0
2026-05-03 00:45:33;Forte 1;ONLINE;1;0
2026-05-03 01:45:38;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 01:45:38;Garnet;ONLINE;4;0
2026-05-03 01:45:38;Forte 1;ONLINE;0;0
2026-05-03 02:45:44;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 02:45:44;Garnet;ONLINE;4;0
2026-05-03 02:45:44;Forte 1;ONLINE;0;0
2026-05-03 03:45:49;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 03:45:49;Garnet;ONLINE;4;0
2026-05-03 03:45:49;Forte 1;ONLINE;0;0
2026-05-03 04:45:54;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 04:45:54;Garnet;ONLINE;4;0
2026-05-03 04:45:54;Forte 1;ONLINE;0;0
2026-05-03 05:46:00;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 05:46:00;Garnet;ONLINE;4;0
2026-05-03 05:46:00;Forte 1;ONLINE;0;0
2026-05-03 06:46:05;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 06:46:05;Garnet;ONLINE;4;0
2026-05-03 06:46:05;Forte 1;ONLINE;0;0
2026-05-03 07:46:10;Cepheus-1-108Q;ONLINE;1;0
2026-05-03 07:46:10;Garnet;ONLINE;4;0
2026-05-03 07:46:10;Forte 1;ONLINE;0;0
2026-05-03 08:46:15;Cepheus-1-108Q;ONLINE;2;0
2026-05-03 08:46:15;Garnet;ONLINE;4;0
2026-05-03 08:46:15;Forte 1;ONLINE;0;0
2026-05-03 09:46:20;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 09:46:20;Garnet;ONLINE;4;0
2026-05-03 09:46:20;Forte 1;ONLINE;1;0
2026-05-03 10:46:25;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 10:46:25;Garnet;ONLINE;4;0
2026-05-03 10:46:25;Forte 1;ONLINE;0;0
2026-05-03 11:46:31;Cepheus-1-108Q;ONLINE;0;0
2026-05-03 11:46:31;Garnet;ONLINE;8;0
